525 ads to version (of 527 total, 2 skipped)
  [1/525] 1946134790124613 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [2/525] 1593871362446549 (OZiva) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [3/525] 1077161571336810 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [4/525] 1569941953994118 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [5/525] 2066827220868179 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [6/525] 38081726888140410 (Plix Life) -> ['FAIL', 'FAIL', 'PASS']
  [7/525] 1107707145135607 (Plix Life) -> ['PASS', 'PASS', 'PASS']
  [8/525] 2173214136956922 (Plix Life) -> ['PASS', 'FAIL', 'FAIL']
  [9/525] 1432771518906472 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [10/525] 1663338018686337 (OZiva) -> ['FAIL', 'PASS', 'PASS']
  [11/525] 1371702241289331 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [12/525] 2108168746742772 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [13/525] 1643590133853606 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [14/525] 2160958984478508 (OZiva) -> ['FAIL', 'FAIL', 'FAIL']
  [15/525] 3247047092157543 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [16/525] 1091036666651913 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [17/525] 1770549207403185 (OZiva) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [18/525] 1786102629098016 (OZiva) -> ['PASS', 'PASS', 'FAIL']
  [19/525] 1060195093287396 (OZiva) -> ['PASS', 'FAIL', 'FAIL']
  [20/525] 1135544759149424 (OZiva) -> ['PASS', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [21/525] 1936189430673424 (OZiva) -> ['PASS', 'FAIL', 'PASS']
  [22/525] 1591907199332112 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [23/525] 960635970415443 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [24/525] 1575895397223751 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [25/525] 1067141359399452 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [26/525] 38005096659136409 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [27/525] 2354186688732662 (Plix Life) -> ['FAIL', 'PASS', 'FAIL']
  [28/525] 1260676889446407 (OZiva) -> ['FAIL', 'PASS', 'PASS']
  [29/525] 885689467745820 (OZiva) -> ['FAIL', 'FAIL', 'PASS']
  [30/525] 27718964201035289 (Life) -> ['PASS', 'PASS', 'PASS']
  [31/525] 1149662480396458 (Life) -> ['PASS', 'PASS', 'FAIL']
  [32/525] 728073440234062 (Life) -> ['PASS', 'PASS', 'PASS']
  [33/525] 1612255063574608 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [34/525] 902582362535484 (Life) -> ['FAIL', 'PASS', 'PASS']
  [35/525] 776770548274577 (Life) -> ['PASS', 'FAIL', 'PASS']
  [36/525] 730599729979042 (Life) -> ['PASS', 'FAIL', 'PASS']
  [37/525] 2139161236997810 (Life) -> ['PASS', 'PASS', 'FAIL']
  [38/525] 1393425795570799 (Kapiva) -> ['PASS', 'PASS', 'PASS']
  [39/525] 1312240689801586 (Life) -> ['PASS', 'PASS', 'PASS']
  [40/525] 1048288874506778 (Life) -> ['PASS', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [41/525] 1063926362886753 (Life) -> ['PASS', 'PASS', 'FAIL']
  [42/525] 1010048038725439 (Life) -> ['PASS', 'PASS', 'FAIL']
  [43/525] 1053186050799347 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [44/525] 2880222689000105 (Life) -> ['PASS', 'FAIL', 'PASS']
  [45/525] 1484891406314950 (Life) -> ['PASS', 'PASS', 'PASS']
  [46/525] 1571440328114253 (andme) -> ['PASS', 'FAIL', 'FAIL']
  [47/525] 1092015616672487 (Life) -> ['PASS', 'FAIL', 'FAIL']
  [48/525] 2028558394456386 (Life) -> ['PASS', 'PASS', 'PASS']
  [49/525] 2535206490225114 (Life) -> ['PASS', 'PASS', 'FAIL']
  [50/525] 1112997611307443 (Life) -> ['FAIL', 'PASS', 'FAIL']
  [51/525] 1598350638491931 (Life) -> ['PASS', 'PASS', 'PASS']
  [52/525] 1390052869206712 (Life) -> ['PASS', 'PASS', 'PASS']
  [53/525] 956454840050475 (Life) -> ['PASS', 'FAIL', 'PASS']
  [54/525] 2149748066423446 (Life) -> ['FAIL', 'FAIL', 'PASS']
  [55/525] 1795805908246151 (Saffola) -> ['PASS', 'FAIL', 'PASS']
  [56/525] 1566200818846068 (Matters) -> ['PASS', 'FAIL', 'PASS']
  [57/525] 959491743133434 (Traya) -> ['FAIL', 'FAIL', 'FAIL']
  [58/525] 807398878815347 (Kapiva) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [59/525] 953799801084382 (Zandu) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [60/525] 1035260739503553 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
    -- flushed 20 to Supabase --
  [61/525] 1546556303333089 (Zandu) -> ['FAIL', 'FAIL', 'PASS']
  [62/525] 2001134447258529 (Matters) -> ['FAIL', 'FAIL', 'FAIL']
  [63/525] 1573250074297088 (Matters) -> ['FAIL', 'PASS', 'FAIL']
  [64/525] 1667622441179507 (Matters) -> ['FAIL', 'FAIL', 'FAIL']
  [65/525] 1015860777602571 (Girnar) -> ['FAIL', 'FAIL', 'FAIL']
  [66/525] 1447695884085194 (Himalaya Wellness) -> ['PASS', 'PASS', 'FAIL']
  [67/525] 831619143330876 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [68/525] 1059209686478709 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [69/525] 2463164420872258 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [70/525] 1031860479836912 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [71/525] 1806014664156450 (Himalaya Wellness) -> ['FAIL', 'FAIL', 'FAIL']
  [72/525] 1402344785335222 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [73/525] 2437935476716506 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [74/525] 1054551450503639 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [75/525] 1787739992380890 (Saffola) -> ['PASS', 'PASS', 'PASS']
  [76/525] 1760036241783382 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [77/525] 29056349297301365 (Jiva Ayurveda) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [78/525] 1053422730610583 (Blue Tea) -> ['PASS', 'FAIL', 'FAIL']
